Amazonas	CO.AM	AMA	CO01	20491	c	46,950	109,665	42,342	Leticia
Antioquia	CO.AN	ANT	CO02	20505	d	5,601,507	63,612	24,561	Medellín
Arauca	CO.AR	ARA	CO03	20781	i	153,028	23,818	9,196	Arauca
Atlántico	CO.AT	ATL	CO04	20208	d	2,112,001	3,388	1,308	Barranquilla
Bolívar	CO.BL	BOL	CO35	20213	d	1,836,640	25,978	10,030	Cartagena
Boyacá	CO.BY	BOY	CO36	20615	d	1,210,982	23,189	8,953	Tunja
Caldas	CO.CL	CAL	CO37	20617	d	898,490	7,888	3,046	Manizales
Caquetá	CO.CQ	CAQ	CO08	20418	i	337,932	88,965	34,350	Florencia
Casanare	CO.CS	CAS	CO32	20785	i	281,294	44,640	17,236	Yopal
Cauca	CO.CA	CAU	CO09	20319	d	1,182,022	29,308	11,316	Popayán
Cesar	CO.CE	CES	CO10	20220	d	878,437	22,905	8,844	Valledupar
Chocó	CO.CH	CHO	CO11	20327	d	388,476	46,530	17,965	Quibdó
Córdoba	CO.CO	COR	CO12	20223	d	1,462,909	25,020	9,660	Montería
Cundinamarca	CO.CU	CUN	CO33	20625	d	2,228,682	22,478	8,679	Bogotá
Distrito Capital	CO.DC	DC	CO34	20111	e	6,778,691	1,732	669	Bogotá
Guainía	CO.GN	GUA	CO15	20494	c	18,797	72,238	27,891	Puerto Inírida
Guaviare	CO.GV	GUV	CO14	20495	c	56,758	42,327	16,343	San José del Guaviare
Huila	CO.HU	HUI	CO16	20641	d	1,001,476	19,890	7,680	Neiva
La Guajira	CO.LG	LAG	CO17	20244	d	655,943	20,848	8,049	Riohacha
Magdalena	CO.MA	MAG	CO38	20247	d	1,136,819	23,188	8,953	Santa Marta
Meta	CO.ME	MET	CO19	20750	d	713,772	85,635	33,064	Villavicencio
Nariño	CO.NA	NAR	CO20	20352	d	1,498,234	33,268	12,845	Pasto
Norte de Santander	CO.NS	NSA	CO21	20554	d	1,208,336	21,658	8,362	Cúcuta
Putumayo	CO.PU	PUT	CO22	20486	i	237,197	24,885	9,608	Mocoa
Quindío	CO.QD	QUI	CO23	20663	d	518,691	1,845	712	Armenia
Risaralda	CO.RI	RIS	CO24	20666	d	859,666	4,140	1,598	Pereira
San Andrés y Providencia	CO.SA	SAP	CO25	20288	i	59,573	44	17	San Andrés
Santander	CO.ST	SAN	CO26	20568	d	1,913,444	30,537	11,790	Bucaramanga
Sucre	CO.SU	SUC	CO27	20270	d	762,263	10,917	4,215	Sincelejo
Tolima	CO.TO	TOL	CO28	20673	d	1,312,304	23,562	9,097	Ibagué
Valle del Cauca	CO.VC	VAC	CO29	20376	d	4,052,535	22,140	8,548	Cali
Vaupés	CO.VP	VAU	CO30	20497	c	19,943	65,268	25,200	Mitú
Vichada	CO.VD	VID	CO31	20799	c	44,592	100,242	38,704	Puerto Carreño